,Index,destination,destination_code,origin,origin_code,1990_total,1995_total,2000_total,2005_total,2010_total,2015_total,2020_total,1990_males,1995_males,2000_males,2005_males,2010_males,2015_males,2020_males,1990_females,1995_females,2000_females,2005_females,2010_females,2015_females,2020_females
5964,5965,AFRICA,903,AFRICA,903,13431488.0,14179992.0,12753079.0,13411177.0,14571247.0,18200172.0,20917565.0,7119363.0,7453071.0,6728790.0,7217870.0,7746843.0,9538053.0,10908187.0,6312125.0,6726921.0,6024289.0,6193307.0,6824404.0,8662119.0,10009378.0
5970,5971,AFRICA,903,ASIA,935,492107.0,567843.0,681816.0,789396.0,896987.0,1078578.0,1207631.0,266807.0,331900.0,418724.0,518177.0,585055.0,703890.0,777901.0,225300.0,235943.0,263092.0,271219.0,311932.0,374688.0,429730.0
5976,5977,AFRICA,903,EUROPE,908,622122.0,539020.0,533653.0,617032.0,604211.0,581876.0,648455.0,298151.0,270729.0,276736.0,319348.0,312133.0,303662.0,344926.0,323971.0,268291.0,256917.0,297684.0,292078.0,278214.0,303529.0
5981,5982,AFRICA,903,LATIN AMERICA AND THE CARIBBEAN,904,10188.0,9417.0,9501.0,10748.0,19077.0,29928.0,32524.0,4558.0,4438.0,4565.0,5287.0,9260.0,15144.0,17141.0,5630.0,4979.0,4936.0,5461.0,9817.0,14784.0,15383.0
5985,5986,AFRICA,903,NORTHERN AMERICA,905,58134.0,47102.0,40167.0,45155.0,46499.0,47055.0,53563.0,29684.0,24540.0,21155.0,24641.0,25719.0,26709.0,30657.0,28450.0,22562.0,19012.0,20514.0,20780.0,20346.0,22906.0
5986,5987,AFRICA,903,OCEANIA,909,9090.0,7074.0,6457.0,8018.0,12023.0,12521.0,14483.0,4052.0,3334.0,3163.0,3849.0,5644.0,6430.0,7672.0,5038.0,3740.0,3294.0,4169.0,6379.0,6091.0,6811.0
12004,12005,ASIA,935,WORLD,900,48209949.0,46418044.0,49066986.0,53249787.0,66123640.0,77191249.0,85618502.0,25669852.0,24775923.0,26295146.0,29083644.0,37687306.0,44550946.0,49796904.0,22540097.0,21642121.0,22771840.0,24166143.0,28436334.0,32640303.0,35821598.0
12025,12026,ASIA,935,AFRICA,903,1777604.0,1953253.0,2164626.0,2335304.0,3426719.0,4166307.0,4720103.0,1076718.0,1212155.0,1370020.0,1492362.0,2246293.0,2644895.0,3031554.0,700886.0,741098.0,794606.0,842942.0,1180426.0,1521412.0,1688549.0
12031,12032,ASIA,935,ASIA,935,35481900.0,34096664.0,36924433.0,40867887.0,51825389.0,61654516.0,68497762.0,19481877.0,18735118.0,20291755.0,22805330.0,30140462.0,36315623.0,40811076.0,16000023.0,15361546.0,16632678.0,18062557.0,21684927.0,25338893.0,27686686.0
12037,12038,ASIA,935,EUROPE,908,7632934.0,6995360.0,6445653.0,6408006.0,6444826.0,6573735.0,7169630.0,3436357.0,3152115.0,2900674.0,2927922.0,2990993.0,3030864.0,3210795.0,4196577.0,3843245.0,3544979.0,3480084.0,3453833.0,3542871.0,3958835.0
