destination,destination_code,origin,origin_code,Year,value
Australia and New Zealand_d,927,Australia and New Zealand,927,1990,346087
Australia and New Zealand_d,927,Australia and New Zealand,927,1995,364148
Australia and New Zealand_d,927,Australia and New Zealand,927,2000,419804
Australia and New Zealand_d,927,Australia and New Zealand,927,2005,483479
Australia and New Zealand_d,927,Australia and New Zealand,927,2010,580866
Australia and New Zealand_d,927,Australia and New Zealand,927,2015,640591
Australia and New Zealand_d,927,Australia and New Zealand,927,2020,696555
Australia and New Zealand_d,927,Eastern Africa,910,1990,46161
Australia and New Zealand_d,927,Eastern Africa,910,1995,54645
Australia and New Zealand_d,927,Eastern Africa,910,2000,65437
Australia and New Zealand_d,927,Eastern Africa,910,2005,93109
Australia and New Zealand_d,927,Eastern Africa,910,2010,128743
Australia and New Zealand_d,927,Eastern Africa,910,2015,161525
Australia and New Zealand_d,927,Eastern Africa,910,2020,187620
Australia and New Zealand_d,927,Middle Africa,911,1990,808
Australia and New Zealand_d,927,Middle Africa,911,1995,871
Australia and New Zealand_d,927,Middle Africa,911,2000,1000
Australia and New Zealand_d,927,Middle Africa,911,2005,1730
Australia and New Zealand_d,927,Middle Africa,911,2010,4410
Australia and New Zealand_d,927,Middle Africa,911,2015,7040
Australia and New Zealand_d,927,Middle Africa,911,2020,8737
Australia and New Zealand_d,927,Northern Africa,912,1990,45408
Australia and New Zealand_d,927,Northern Africa,912,1995,47091
Australia and New Zealand_d,927,Northern Africa,912,2000,47286
Australia and New Zealand_d,927,Northern Africa,912,2005,63847
Australia and New Zealand_d,927,Northern Africa,912,2010,74703
Australia and New Zealand_d,927,Northern Africa,912,2015,72954
Australia and New Zealand_d,927,Northern Africa,912,2020,80128
Australia and New Zealand_d,927,Southern Africa,913,1990,64817
Australia and New Zealand_d,927,Southern Africa,913,1995,73182
Australia and New Zealand_d,927,Southern Africa,913,2000,107439
Australia and New Zealand_d,927,Southern Africa,913,2005,156056
Australia and New Zealand_d,927,Southern Africa,913,2010,207124
Australia and New Zealand_d,927,Southern Africa,913,2015,237076
Australia and New Zealand_d,927,Southern Africa,913,2020,277311
Australia and New Zealand_d,927,Western Africa,914,1990,2548
Australia and New Zealand_d,927,Western Africa,914,1995,3701
Australia and New Zealand_d,927,Western Africa,914,2000,4881
Australia and New Zealand_d,927,Western Africa,914,2005,9936
Australia and New Zealand_d,927,Western Africa,914,2010,17311
Australia and New Zealand_d,927,Western Africa,914,2015,24661
Australia and New Zealand_d,927,Western Africa,914,2020,31277
Australia and New Zealand_d,927,Central Asia,5500,1990,709
Australia and New Zealand_d,927,Central Asia,5500,1995,868
Australia and New Zealand_d,927,Central Asia,5500,2000,1050
Australia and New Zealand_d,927,Central Asia,5500,2005,1800
Australia and New Zealand_d,927,Central Asia,5500,2010,3040
Australia and New Zealand_d,927,Central Asia,5500,2015,4510
Australia and New Zealand_d,927,Central Asia,5500,2020,5389
Australia and New Zealand_d,927,Eastern Asia,906,1990,219476
Australia and New Zealand_d,927,Eastern Asia,906,1995,281171
Australia and New Zealand_d,927,Eastern Asia,906,2000,358873
Australia and New Zealand_d,927,Eastern Asia,906,2005,513174
Australia and New Zealand_d,927,Eastern Asia,906,2010,714440
Australia and New Zealand_d,927,Eastern Asia,906,2015,901056
Australia and New Zealand_d,927,Eastern Asia,906,2020,1149596
Australia and New Zealand_d,927,South-Eastern Asia,920,1990,462938
Australia and New Zealand_d,927,South-Eastern Asia,920,1995,525168
Australia and New Zealand_d,927,South-Eastern Asia,920,2000,568763
Australia and New Zealand_d,927,South-Eastern Asia,920,2005,664543
Australia and New Zealand_d,927,South-Eastern Asia,920,2010,846207
Australia and New Zealand_d,927,South-Eastern Asia,920,2015,1003393
Australia and New Zealand_d,927,South-Eastern Asia,920,2020,1211798
Australia and New Zealand_d,927,Southern Asia,5501,1990,158181
Australia and New Zealand_d,927,Southern Asia,5501,1995,192330
Australia and New Zealand_d,927,Southern Asia,5501,2000,236252
Australia and New Zealand_d,927,Southern Asia,5501,2005,359203
Australia and New Zealand_d,927,Southern Asia,5501,2010,657680
Australia and New Zealand_d,927,Southern Asia,5501,2015,933403
Australia and New Zealand_d,927,Southern Asia,5501,2020,1235711
Australia and New Zealand_d,927,Western Asia,922,1990,166821
Australia and New Zealand_d,927,Western Asia,922,1995,180801
Australia and New Zealand_d,927,Western Asia,922,2000,197267
Australia and New Zealand_d,927,Western Asia,922,2005,226438
Australia and New Zealand_d,927,Western Asia,922,2010,266140
Australia and New Zealand_d,927,Western Asia,922,2015,303729
Australia and New Zealand_d,927,Western Asia,922,2020,359282
Australia and New Zealand_d,927,Eastern Europe,923,1990,162226
Australia and New Zealand_d,927,Eastern Europe,923,1995,175014
Australia and New Zealand_d,927,Eastern Europe,923,2000,173486
Australia and New Zealand_d,927,Eastern Europe,923,2005,175429
Australia and New Zealand_d,927,Eastern Europe,923,2010,174637
Australia and New Zealand_d,927,Eastern Europe,923,2015,176977
Australia and New Zealand_d,927,Eastern Europe,923,2020,194868
Australia and New Zealand_d,927,Northern Europe,924,1990,1446003
Australia and New Zealand_d,927,Northern Europe,924,1995,1427933
Australia and New Zealand_d,927,Northern Europe,924,2000,1447427
Australia and New Zealand_d,927,Northern Europe,924,2005,1460116
Australia and New Zealand_d,927,Northern Europe,924,2010,1564893
Australia and New Zealand_d,927,Northern Europe,924,2015,1622399
Australia and New Zealand_d,927,Northern Europe,924,2020,1734126
Australia and New Zealand_d,927,Southern Europe,925,1990,678065
Australia and New Zealand_d,927,Southern Europe,925,1995,687603
Australia and New Zealand_d,927,Southern Europe,925,2000,657698
Australia and New Zealand_d,927,Southern Europe,925,2005,650851
Australia and New Zealand_d,927,Southern Europe,925,2010,621958
Australia and New Zealand_d,927,Southern Europe,925,2015,596652
Australia and New Zealand_d,927,Southern Europe,925,2020,624909
Australia and New Zealand_d,927,Western Europe,926,1990,316715
Australia and New Zealand_d,927,Western Europe,926,1995,314364
Australia and New Zealand_d,927,Western Europe,926,2000,304372
Australia and New Zealand_d,927,Western Europe,926,2005,313788
Australia and New Zealand_d,927,Western Europe,926,2010,324422
Australia and New Zealand_d,927,Western Europe,926,2015,318676
Australia and New Zealand_d,927,Western Europe,926,2020,355450
Australia and New Zealand_d,927,Latin America and the Caribbean,904,1990,81984
Australia and New Zealand_d,927,Latin America and the Caribbean,904,1995,86585
Australia and New Zealand_d,927,Latin America and the Caribbean,904,2000,87624
Australia and New Zealand_d,927,Latin America and the Caribbean,904,2005,99412
Australia and New Zealand_d,927,Latin America and the Caribbean,904,2010,127221
Australia and New Zealand_d,927,Latin America and the Caribbean,904,2015,159787
Australia and New Zealand_d,927,Latin America and the Caribbean,904,2020,209475
Australia and New Zealand_d,927,Caribbean,915,1990,2804
Australia and New Zealand_d,927,Caribbean,915,1995,3527
Australia and New Zealand_d,927,Caribbean,915,2000,4269
Australia and New Zealand_d,927,Caribbean,915,2005,4679
Australia and New Zealand_d,927,Caribbean,915,2010,5229
Australia and New Zealand_d,927,Caribbean,915,2015,6069
Australia and New Zealand_d,927,Caribbean,915,2020,6593
Australia and New Zealand_d,927,Central America,916,1990,11005
Australia and New Zealand_d,927,Central America,916,1995,12746
Australia and New Zealand_d,927,Central America,916,2000,13770
Australia and New Zealand_d,927,Central America,916,2005,14529
Australia and New Zealand_d,927,Central America,916,2010,16550
Australia and New Zealand_d,927,Central America,916,2015,19290
Australia and New Zealand_d,927,Central America,916,2020,22048
Australia and New Zealand_d,927,South America,931,1990,68175
Australia and New Zealand_d,927,South America,931,1995,70312
Australia and New Zealand_d,927,South America,931,2000,69585
Australia and New Zealand_d,927,South America,931,2005,80204
Australia and New Zealand_d,927,South America,931,2010,105442
Australia and New Zealand_d,927,South America,931,2015,134428
Australia and New Zealand_d,927,South America,931,2020,180834
Australia and New Zealand_d,927,Northern America,905,1990,96249
Australia and New Zealand_d,927,Northern America,905,1995,102089
Australia and New Zealand_d,927,Northern America,905,2000,110887
Australia and New Zealand_d,927,Northern America,905,2005,132785
Australia and New Zealand_d,927,Northern America,905,2010,159524
Australia and New Zealand_d,927,Northern America,905,2015,190070
Australia and New Zealand_d,927,Northern America,905,2020,227049
Australia and New Zealand_d,927,Oceania,909,1990,498858
Australia and New Zealand_d,927,Oceania,909,1995,527250
Australia and New Zealand_d,927,Oceania,909,2000,610963
Australia and New Zealand_d,927,Oceania,909,2005,703502
Australia and New Zealand_d,927,Oceania,909,2010,832206
Australia and New Zealand_d,927,Oceania,909,2015,924507
