,LocTypeID,LocTypeName,Location,Time,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,NetMigrations,War_Deaths,Foreign_Invasion_War,Civil_War,Inter_country_War,Imperial_Invasion_War
0,2,Geographic region,Northern America,1960,194177.008,96419.784,97757.224,10.4106,98.6319,28.3352,2655.649,13.701,3283.647,1.691,40.9904,4466.678,564.997,23.044,3.5827,1.6808,26.558,105,1811.029,1034.311,776.718,9.343,69.9013,66.7424,73.3675,57.3985,54.4537,60.6151,14.4756,12.9443,15.9954,6.6552,6.0473,7.13,118.798,26.5258,4362.058,138.024,627.988,0,0,0,0,0
1,2,Geographic region,Northern America,1961,197442.207,97936.97,99505.237,10.5857,98.4239,28.1567,2680.926,13.601,3246.751,1.644,42.1622,4483.977,585.962,22.748,3.5488,1.6666,26.581,105.1,1803.051,1027.379,775.672,9.147,70.3119,67.1449,73.7639,57.7178,54.7508,60.9357,14.6697,13.099,16.2107,6.7526,6.1122,7.2488,115.005,25.5539,4382.425,133.223,565.841,823.5,1,0,0,0
2,2,Geographic region,Northern America,1962,200623.682,99396.828,101226.855,10.7562,98.1922,27.9461,2539.966,12.683,3116.199,1.553,44.6328,4399.92,580.432,21.971,3.4232,1.6089,26.591,104.9,1859.954,1055.961,803.993,9.288,70.1879,67.001,73.6503,57.5718,54.5797,60.8059,14.5842,12.9796,16.1451,6.6776,6.0344,7.1723,112.571,25.427,4300.72,130.447,576.239,400,0,1,0,0
3,2,Geographic region,Northern America,1963,203706.745,100810.932,102895.813,10.9215,97.9738,27.6784,2420.287,11.904,3049.927,1.497,46.3024,4339.926,560.126,21.345,3.3091,1.5525,26.646,105.2,1919.639,1090.319,829.32,9.441,70.0354,66.7755,73.579,57.4027,54.3353,60.7186,14.4855,12.8111,16.1078,6.6094,5.9385,7.1237,110.076,25.2159,4242.808,128.254,629.658,25,0,2,0,0
4,2,Geographic region,Northern America,1964,206691.982,102177.942,104514.04,11.0816,97.7648,27.4057,2360.106,11.438,2920.545,1.413,49.055,4263.644,561.53,20.663,3.1737,1.4926,26.698,104.8,1903.538,1080.766,822.772,9.225,70.3075,66.9695,73.913,57.6398,54.4862,61.0263,14.768,13.0489,16.4068,6.8199,6.1323,7.3369,106.315,24.788,4169.696,123.833,560.473,230,0,1,0,0
5,2,Geographic region,Northern America,1965,209482.854,103400.53,106082.324,11.2312,97.472,27.2348,2059.816,9.852,2661.199,1.27,54.5785,3994.635,587.895,19.107,2.8875,1.3574,26.669,105.1,1934.819,1098.772,836.047,9.255,70.3669,66.9674,74.0356,57.6278,54.4021,61.0884,14.7463,12.9615,16.4404,6.7945,6.062,7.3448,96.55,23.9308,3909.386,113.414,601.386,4665,0,4,0,0
6,2,Geographic region,Northern America,1966,211979.518,104400.974,107578.545,11.3651,97.0463,27.1137,1857.662,8.777,2332.131,1.1,63.0134,3829.438,615.141,18.094,2.6737,1.2587,26.513,104.9,1971.776,1117.61,854.166,9.317,70.3407,66.8644,74.0795,57.5572,54.2484,61.0942,14.7253,12.913,16.4273,6.8068,6.0695,7.3528,89.919,23.2704,3749.786,106.472,474.471,400,0,2,0,0
7,2,Geographic region,Northern America,1967,214286.308,105287.503,108998.805,11.4888,96.5951,27.0578,1778.88,8.314,2281.448,1.065,65.0842,3741.357,580.533,17.485,2.5299,1.1921,26.424,105,1962.477,1112.176,850.301,9.171,70.6486,67.1037,74.4376,57.7756,54.3932,61.3671,14.9227,13.0449,16.6704,6.9519,6.1742,7.521,83.633,22.2378,3666.828,98.585,502.594,502,0,3,0,0
8,2,Geographic region,Northern America,1968,216573.634,106230.3,110343.334,11.6114,96.2725,27.0326,1686.787,7.8,2293.205,1.059,65.453,3729.208,559.997,17.245,2.4404,1.1482,26.334,105.4,2042.421,1153.863,888.558,9.445,70.3734,66.7702,74.2205,57.4744,54.033,61.1233,14.7433,12.8257,16.5186,6.8551,6.082,7.4128,82.033,21.9603,3655.89,96.308,606.406,1010,0,2,0,0
9,2,Geographic region,Northern America,1969,218993.97,107336.04,111657.93,11.7412,96.1293,27.0026,1791.736,8.195,2547.465,1.163,59.5999,3829.669,587.015,17.515,2.4276,1.143,26.257,105.3,2037.933,1149.651,888.282,9.32,70.6419,66.9782,74.5297,57.6908,54.179,61.3905,14.9428,12.9808,16.7361,6.9857,6.1799,7.558,81.144,21.2434,3756.952,94.633,755.779,3797,0,2,1,0
10,2,Geographic region,Northern America,1970,221865.907,108759.552,113106.354,11.8951,96.1569,26.9975,1962.474,8.867,3196.409,1.441,48.1018,4001.621,667.451,18.08,2.4529,1.1551,26.165,105.5,2039.147,1148.397,890.75,9.213,70.8965,67.2195,74.7803,57.8958,54.3669,61.5952,15.1187,13.1002,16.947,7.1764,6.3132,7.7804,82.498,20.7302,3927.559,95.055,1233.944,1720,0,2,0,0
11,2,Geographic region,Northern America,1971,224901.244,110304.804,114596.44,12.0579,96.255,27.0717,1763.661,7.863,2874.267,1.278,54.2369,3806.356,650.029,16.969,2.2516,1.0635,26.109,105.3,2042.695,1145.524,897.171,9.106,71.2563,67.5869,75.1131,58.1029,54.5693,61.7904,15.2277,13.1765,17.0719,7.1827,6.298,7.7919,71.205,18.667,3743.222,83.426,1110.608,1650,0,2,0,0
12,2,Geographic region,Northern America,1972,227566.327,111632.804,115933.523,12.2007,96.2904,27.1781,1434.585,6.321,2455.898,1.079,64.2398,3517.053,621.005,15.497,2.0089,0.9503,26.009,105.2,2082.468,1166.52,915.948,9.176,71.3165,67.6,75.2278,58.0871,54.5043,61.8318,15.186,13.1044,17.0505,7.1986,6.2879,7.8166,62.911,17.7375,3461.742,74.948,1021.359,2061,0,4,0,0
13,2,Geographic region,Northern America,1973,229923.512,112763.949,117159.562,12.3271,96.2482,27.2827,1305.638,5.691,2258.471,0.982,70.5853,3400.874,608.527,14.825,1.8808,0.8901,25.939,105.3,2095.236,1169.369,925.867,9.134,71.5377,67.8046,75.4505,58.2627,54.662,62.0101,15.3087,13.1898,17.1926,7.2042,6.2665,7.8324,58.402,17.0977,3349.393,70.087,952.856,3395,0,3,0,0
14,2,Geographic region,Northern America,1974,232198.019,113831.661,118366.358,12.4491,96.1689,27.4551,1357.435,5.858,2290.544,0.986,70.2989,3419.999,603.537,14.758,1.8328,0.8677,25.88,105.5,2062.564,1147.503,915.061,8.9,72.0587,68.3285,75.9373,58.7316,55.1249,62.4546,15.5805,13.4225,17.4771,7.3687,6.3962,8.008,56.978,16.6674,3369.582,67.638,933.138,2575,0,3,0,0
15,2,Geographic region,Northern America,1975,234519.142,114912.408,119606.735,12.5735,96.0752,27.7171,1389.764,5.938,2351.703,1.003,69.1074,3411.079,591.007,14.575,1.7777,0.8431,25.889,105.4,2021.315,1126.949,894.366,8.637,72.6188,68.841,76.5246,59.2104,55.541,62.9781,15.9278,13.6817,17.8875,7.6441,6.5732,8.3403,53.63,15.7173,3363.766,63.534,961.969,2040,0,3,0,0
16,2,Geographic region,Northern America,1976,236821.063,115978.439,120842.624,12.6969,95.9748,28.0477,1398.377,5.915,2252.139,0.951,72.8861,3436.499,571.315,14.537,1.7462,0.8294,25.953,105.3,2038.122,1128.698,909.424,8.622,72.9321,69.2009,76.7665,59.4535,55.8228,63.1598,16.0118,13.7547,17.9664,7.632,6.5565,8.3189,51.252,14.9082,3391.37,60.657,853.781,2580,0,3,0,0
17,2,Geographic region,Northern America,1977,239261.912,117106.352,122155.561,12.8278,95.8666,28.3681,1560.674,6.537,2629.559,1.099,63.0707,3589.47,571.948,15.034,1.7813,0.8468,25.996,105.3,2028.796,1123.123,905.673,8.497,73.304,69.5277,77.1652,59.7565,56.0835,63.4861,16.2698,13.9599,18.2538,7.837,6.6908,8.558,50.143,14.0124,3545.258,59.154,1068.915,1717,0,4,0,0
18,2,Geographic region,Northern America,1978,241953.38,118350.172,123603.207,12.9721,95.7501,28.6333,1567.75,6.495,2753.375,1.138,60.9092,3625.328,560.563,15.02,1.758,0.8363,26.055,105.3,2057.578,1132.628,924.95,8.525,73.4991,69.742,77.3229,59.912,56.2529,63.6105,16.3435,14.0316,18.3157,7.8461,6.678,8.5704,48.846,13.4768,3582.434,57.974,1185.65,4300,0,3,0,0
19,2,Geographic region,Northern America,1979,244791.543,119681.788,125109.754,13.1243,95.6614,28.8258,1738.324,7.118,2922.952,1.194,58.0525,3786.74,563.692,15.505,1.7967,0.8556,26.093,105.2,2048.416,1124.587,923.829,8.387,73.9161,70.1324,77.7443,60.2704,56.5801,63.9788,16.6013,14.2721,18.5685,8.031,6.8319,8.7598,48.763,12.9128,3743.866,57.496,1184.656,9570,0,4,0,0
20,2,Geographic region,Northern America,1980,247761.304,121101.389,126659.916,13.2835,95.6115,28.965,1792.351,7.251,3016.571,1.218,56.9086,3917.924,566.813,15.85,1.8213,0.8675,26.096,105.3,2125.573,1155.284,970.289,8.599,73.842,70.1343,77.583,60.1571,56.5402,63.7819,16.4251,14.1456,18.3445,7.8708,6.6858,8.5861,48.831,12.5018,3875.018,57.673,1224.231,3599,0,3,0,0
21,2,Geographic region,Northern America,1981,250580.512,122470.023,128110.489,13.4346,95.5972,29.2171,1813.517,7.249,2621.844,1.046,66.2665,3931.611,550.075,15.715,1.7968,0.8573,26.141,105.2,2118.094,1146.201,971.893,8.466,74.2328,70.5574,77.9144,60.4716,56.8789,64.047,16.6344,14.3287,18.559,8.0091,6.786,8.7363,45.817,11.661,3891.528,54.409,808.392,19541,0,3,0,0
22,2,Geographic region,Northern America,1982,253214.7,123766.286,129448.414,13.5759,95.6105,29.5086,1880.942,7.439,2646.532,1.045,66.3299,3999.313,539.103,15.817,1.8065,0.863,26.214,105.1,2118.371,1140.511,977.86,8.378,74.5705,70.9449,78.1807,60.7719,57.2283,64.2775,16.7519,14.4355,18.6747,8.1311,6.8737,8.8728,45.177,11.3061,3959.814,53.6,765.624,14838,0,6,1,0
