Location,Time,Loc_Time,TotalMigrants,GDP,NetMigrations
Afghanistan,1990,Afghanistan1990,57686,1,-666.001
Afghanistan,1995,Afghanistan1995,71522,1,71.824
Afghanistan,2000,Afghanistan2000,75917,1,-1007.135
Afghanistan,2005,Afghanistan2005,87314,242.0313132,252.185
Afghanistan,2010,Afghanistan2010,102276,543.3065262,-141.355
Afghanistan,2015,Afghanistan2015,339432,556.0072209,-281.739
Afghanistan,2020,Afghanistan2020,144098,516.7478708,166.821
Albania,1990,Albania1990,66013,617.2304355,-52.723
Albania,1995,Albania1995,71354,750.6044492,-65.106
Albania,2000,Albania2000,76695,1126.68334,-63.61
Albania,2005,Albania2005,64739,2673.786584,-50.855
Albania,2010,Albania2010,52784,4094.348386,-29.33
Albania,2015,Albania2015,52031,3952.802538,-12.24
Albania,2020,Albania2020,48810,5332.160475,-9.117
Algeria,1990,Algeria1990,273954,2408.822985,-21.641
Algeria,1995,Algeria1995,262032,1452.278434,-28.581
Algeria,2000,Algeria2000,250110,1765.027146,-18.994
Algeria,2005,Algeria2005,197728,3113.094883,-111.256
Algeria,2010,Algeria2010,217268,4480.786318,-33.071
Algeria,2015,Algeria2015,239473,4177.889542,-36.371
Algeria,2020,Algeria2020,250378,3306.858208,-18.797
American Samoa,1990,American Samoa1990,21283,1,-0.251
American Samoa,1995,American Samoa1995,23098,1,-0.419
American Samoa,2000,American Samoa2000,24912,1,-1.158
American Samoa,2005,American Samoa2005,24233,8395.31877,-1.697
American Samoa,2010,American Samoa2010,23555,10216.81763,-1.475
American Samoa,2015,American Samoa2015,23513,12059.63516,-1.629
American Samoa,2020,American Samoa2020,23608,12844.90099,-1.636
Andorra,1990,Andorra1990,38891,18878.85231,1.589
Andorra,1995,Andorra1995,44206,18458.17399,1.588
Andorra,2000,Andorra2000,42147,21854.2468,0.146
Andorra,2005,Andorra2005,50298,40064.22493,2.467
Andorra,2010,Andorra2010,52053,40849.76128,-2.864
Andorra,2015,Andorra2015,42264,35770.91865,-0.232
Andorra,2020,Andorra2020,45574,37416.69772,1.474
Angola,1990,Angola1990,33517,947.7042621,47.663
Angola,1995,Angola1995,39813,397.1794793,40.855
Angola,2000,Angola2000,46108,556.8361822,53.527
Angola,2005,Angola2005,62331,1902.42215,64.009
Angola,2010,Angola2010,336367,3497.974488,90.016
Angola,2015,Angola2015,632178,3127.890598,74.17
Angola,2020,Angola2020,656434,1631.431691,7.557
Anguilla,1990,Anguilla1990,2570,1,0
Anguilla,1995,Anguilla1995,3317,1,0
Anguilla,2000,Anguilla2000,4063,1,0
Anguilla,2005,Anguilla2005,4684,1,0
Anguilla,2010,Anguilla2010,5103,1,0
Anguilla,2015,Anguilla2015,5471,1,0
Anguilla,2020,Anguilla2020,5715,1,0
Antigua and Barbuda,1990,Antigua and Barbuda1990,12029,7347.646369,-1.145
Antigua and Barbuda,1995,Antigua and Barbuda1995,17550,8406.358945,0.528
Antigua and Barbuda,2000,Antigua and Barbuda2000,23071,10872.29295,0.271
