destination,destination_code,origin,origin_code,Year,value
AFRICA_d,903,AFRICA,903,1990,13431488
AFRICA_d,903,AFRICA,903,1995,14179992
AFRICA_d,903,AFRICA,903,2000,12753079
AFRICA_d,903,AFRICA,903,2005,13411177
AFRICA_d,903,AFRICA,903,2010,14571247
AFRICA_d,903,AFRICA,903,2015,18200172
AFRICA_d,903,AFRICA,903,2020,20917565
AFRICA_d,903,ASIA,935,1990,492107
AFRICA_d,903,ASIA,935,1995,567843
AFRICA_d,903,ASIA,935,2000,681816
AFRICA_d,903,ASIA,935,2005,789396
AFRICA_d,903,ASIA,935,2010,896987
AFRICA_d,903,ASIA,935,2015,1078578
AFRICA_d,903,ASIA,935,2020,1207631
AFRICA_d,903,EUROPE,908,1990,622122
AFRICA_d,903,EUROPE,908,1995,539020
AFRICA_d,903,EUROPE,908,2000,533653
AFRICA_d,903,EUROPE,908,2005,617032
AFRICA_d,903,EUROPE,908,2010,604211
AFRICA_d,903,EUROPE,908,2015,581876
AFRICA_d,903,EUROPE,908,2020,648455
AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,1990,10188
AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,1995,9417
AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2000,9501
AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2005,10748
AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2010,19077
AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2015,29928
AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2020,32524
AFRICA_d,903,NORTHERN AMERICA,905,1990,58134
AFRICA_d,903,NORTHERN AMERICA,905,1995,47102
AFRICA_d,903,NORTHERN AMERICA,905,2000,40167
AFRICA_d,903,NORTHERN AMERICA,905,2005,45155
AFRICA_d,903,NORTHERN AMERICA,905,2010,46499
AFRICA_d,903,NORTHERN AMERICA,905,2015,47055
AFRICA_d,903,NORTHERN AMERICA,905,2020,53563
AFRICA_d,903,OCEANIA,909,1990,9090
AFRICA_d,903,OCEANIA,909,1995,7074
AFRICA_d,903,OCEANIA,909,2000,6457
AFRICA_d,903,OCEANIA,909,2005,8018
AFRICA_d,903,OCEANIA,909,2010,12023
AFRICA_d,903,OCEANIA,909,2015,12521
AFRICA_d,903,OCEANIA,909,2020,14483
ASIA_d,935,AFRICA,903,1990,1777604
ASIA_d,935,AFRICA,903,1995,1953253
ASIA_d,935,AFRICA,903,2000,2164626
ASIA_d,935,AFRICA,903,2005,2335304
ASIA_d,935,AFRICA,903,2010,3426719
ASIA_d,935,AFRICA,903,2015,4166307
ASIA_d,935,AFRICA,903,2020,4720103
ASIA_d,935,ASIA,935,1990,35481900
ASIA_d,935,ASIA,935,1995,34096664
ASIA_d,935,ASIA,935,2000,36924433
ASIA_d,935,ASIA,935,2005,40867887
ASIA_d,935,ASIA,935,2010,51825389
ASIA_d,935,ASIA,935,2015,61654516
ASIA_d,935,ASIA,935,2020,68497762
ASIA_d,935,EUROPE,908,1990,7632934
ASIA_d,935,EUROPE,908,1995,6995360
ASIA_d,935,EUROPE,908,2000,6445653
ASIA_d,935,EUROPE,908,2005,6408006
ASIA_d,935,EUROPE,908,2010,6444826
ASIA_d,935,EUROPE,908,2015,6573735
ASIA_d,935,EUROPE,908,2020,7169630
ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,1990,118597
ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,1995,291724
ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2000,407595
ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2005,394800
ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2010,426361
ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2015,376798
ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2020,414658
ASIA_d,935,NORTHERN AMERICA,905,1990,239176
ASIA_d,935,NORTHERN AMERICA,905,1995,277759
ASIA_d,935,NORTHERN AMERICA,905,2000,324065
ASIA_d,935,NORTHERN AMERICA,905,2005,382401
ASIA_d,935,NORTHERN AMERICA,905,2010,468106
ASIA_d,935,NORTHERN AMERICA,905,2015,496804
ASIA_d,935,NORTHERN AMERICA,905,2020,538199
ASIA_d,935,OCEANIA,909,1990,43560
ASIA_d,935,OCEANIA,909,1995,47408
ASIA_d,935,OCEANIA,909,2000,58045
ASIA_d,935,OCEANIA,909,2005,70300
ASIA_d,935,OCEANIA,909,2010,88244
ASIA_d,935,OCEANIA,909,2015,92431
ASIA_d,935,OCEANIA,909,2020,101725
EUROPE_d,908,AFRICA,903,1990,4682594
EUROPE_d,908,AFRICA,903,1995,5179831
EUROPE_d,908,AFRICA,903,2000,5797189
EUROPE_d,908,AFRICA,903,2005,7620545
EUROPE_d,908,AFRICA,903,2010,8748280
EUROPE_d,908,AFRICA,903,2015,9536606
EUROPE_d,908,AFRICA,903,2020,11024274
EUROPE_d,908,ASIA,935,1990,13453956
EUROPE_d,908,ASIA,935,1995,14667430
EUROPE_d,908,ASIA,935,2000,15541563
EUROPE_d,908,ASIA,935,2005,16825888
EUROPE_d,908,ASIA,935,2010,18287405
EUROPE_d,908,ASIA,935,2015,19797557
EUROPE_d,908,ASIA,935,2020,23203976
EUROPE_d,908,EUROPE,908,1990,28367362
EUROPE_d,908,EUROPE,908,1995,29988843
EUROPE_d,908,EUROPE,908,2000,31590963
EUROPE_d,908,EUROPE,908,2005,33415975
EUROPE_d,908,EUROPE,908,2010,36683624
EUROPE_d,908,EUROPE,908,2015,38418244
EUROPE_d,908,EUROPE,908,2020,44246425
EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,1990,1104536
EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,1995,1340812
EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2000,1699981
EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2005,3453004
EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2010,4581301
EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2015,4487571
EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2020,5395924
EUROPE_d,908,NORTHERN AMERICA,905,1990,769469
EUROPE_d,908,NORTHERN AMERICA,905,1995,743008
EUROPE_d,908,NORTHERN AMERICA,905,2000,735943
EUROPE_d,908,NORTHERN AMERICA,905,2005,824591
EUROPE_d,908,NORTHERN AMERICA,905,2010,921685
EUROPE_d,908,NORTHERN AMERICA,905,2015,972405
EUROPE_d,908,NORTHERN AMERICA,905,2020,1100304
EUROPE_d,908,OCEANIA,909,1990,191405
EUROPE_d,908,OCEANIA,909,1995,222969
EUROPE_d,908,OCEANIA,909,2000,259848
EUROPE_d,908,OCEANIA,909,2005,284743
EUROPE_d,908,OCEANIA,909,2010,323142
EUROPE_d,908,OCEANIA,909,2015,348242
EUROPE_d,908,OCEANIA,909,2020,397036
LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,1990,19192
LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,1995,19478
LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2000,20285
LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2005,21850
LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2010,27847
LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2015,39533
LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2020,48791
LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,1990,263267
LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,1995,258892
LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,2000,258933
LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,2005,264943
LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,2010,285869
