,Index,destination,destination_code,origin,origin_code,Year,value
0,1,WORLD_d,900,WORLD,900,1990,152986157
1,1,WORLD_d,900,WORLD,900,1995,161289976
2,1,WORLD_d,900,WORLD,900,2000,173230585
3,1,WORLD_d,900,WORLD,900,2005,191446828
4,1,WORLD_d,900,WORLD,900,2010,220983187
5,1,WORLD_d,900,WORLD,900,2015,247958644
6,1,WORLD_d,900,WORLD,900,2020,280598105
168,5965,AFRICA_d,903,AFRICA,903,1990,13431488
169,5965,AFRICA_d,903,AFRICA,903,1995,14179992
170,5965,AFRICA_d,903,AFRICA,903,2000,12753079
171,5965,AFRICA_d,903,AFRICA,903,2005,13411177
172,5965,AFRICA_d,903,AFRICA,903,2010,14571247
173,5965,AFRICA_d,903,AFRICA,903,2015,18200172
174,5965,AFRICA_d,903,AFRICA,903,2020,20917565
189,5971,AFRICA_d,903,ASIA,935,1990,492107
190,5971,AFRICA_d,903,ASIA,935,1995,567843
191,5971,AFRICA_d,903,ASIA,935,2000,681816
192,5971,AFRICA_d,903,ASIA,935,2005,789396
193,5971,AFRICA_d,903,ASIA,935,2010,896987
194,5971,AFRICA_d,903,ASIA,935,2015,1078578
195,5971,AFRICA_d,903,ASIA,935,2020,1207631
210,5977,AFRICA_d,903,EUROPE,908,1990,622122
211,5977,AFRICA_d,903,EUROPE,908,1995,539020
212,5977,AFRICA_d,903,EUROPE,908,2000,533653
213,5977,AFRICA_d,903,EUROPE,908,2005,617032
214,5977,AFRICA_d,903,EUROPE,908,2010,604211
215,5977,AFRICA_d,903,EUROPE,908,2015,581876
216,5977,AFRICA_d,903,EUROPE,908,2020,648455
231,5982,AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,1990,10188
232,5982,AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,1995,9417
233,5982,AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2000,9501
234,5982,AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2005,10748
235,5982,AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2010,19077
236,5982,AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2015,29928
237,5982,AFRICA_d,903,LATIN AMERICA AND THE CARIBBEAN,904,2020,32524
252,5986,AFRICA_d,903,NORTHERN AMERICA,905,1990,58134
253,5986,AFRICA_d,903,NORTHERN AMERICA,905,1995,47102
254,5986,AFRICA_d,903,NORTHERN AMERICA,905,2000,40167
255,5986,AFRICA_d,903,NORTHERN AMERICA,905,2005,45155
256,5986,AFRICA_d,903,NORTHERN AMERICA,905,2010,46499
257,5986,AFRICA_d,903,NORTHERN AMERICA,905,2015,47055
258,5986,AFRICA_d,903,NORTHERN AMERICA,905,2020,53563
273,5987,AFRICA_d,903,OCEANIA,909,1990,9090
274,5987,AFRICA_d,903,OCEANIA,909,1995,7074
275,5987,AFRICA_d,903,OCEANIA,909,2000,6457
276,5987,AFRICA_d,903,OCEANIA,909,2005,8018
277,5987,AFRICA_d,903,OCEANIA,909,2010,12023
278,5987,AFRICA_d,903,OCEANIA,909,2015,12521
279,5987,AFRICA_d,903,OCEANIA,909,2020,14483
315,12026,ASIA_d,935,AFRICA,903,1990,1777604
316,12026,ASIA_d,935,AFRICA,903,1995,1953253
317,12026,ASIA_d,935,AFRICA,903,2000,2164626
318,12026,ASIA_d,935,AFRICA,903,2005,2335304
319,12026,ASIA_d,935,AFRICA,903,2010,3426719
320,12026,ASIA_d,935,AFRICA,903,2015,4166307
321,12026,ASIA_d,935,AFRICA,903,2020,4720103
336,12032,ASIA_d,935,ASIA,935,1990,35481900
337,12032,ASIA_d,935,ASIA,935,1995,34096664
338,12032,ASIA_d,935,ASIA,935,2000,36924433
339,12032,ASIA_d,935,ASIA,935,2005,40867887
340,12032,ASIA_d,935,ASIA,935,2010,51825389
341,12032,ASIA_d,935,ASIA,935,2015,61654516
342,12032,ASIA_d,935,ASIA,935,2020,68497762
357,12038,ASIA_d,935,EUROPE,908,1990,7632934
358,12038,ASIA_d,935,EUROPE,908,1995,6995360
359,12038,ASIA_d,935,EUROPE,908,2000,6445653
360,12038,ASIA_d,935,EUROPE,908,2005,6408006
361,12038,ASIA_d,935,EUROPE,908,2010,6444826
