Continent,Time,WarType,n
Northern America,1990,Foreign_Invasion_War,0
Northern America,1990,Civil_War,6
Northern America,1990,Inter_country_War,0
Northern America,1990,Imperial_Invasion_War,0
Northern America,1991,Foreign_Invasion_War,0
Northern America,1991,Civil_War,5
Northern America,1991,Inter_country_War,0
Northern America,1991,Imperial_Invasion_War,0
Northern America,1992,Foreign_Invasion_War,0
Northern America,1992,Civil_War,4
Northern America,1992,Inter_country_War,0
Northern America,1992,Imperial_Invasion_War,0
Northern America,1993,Foreign_Invasion_War,0
Northern America,1993,Civil_War,3
Northern America,1993,Inter_country_War,0
Northern America,1993,Imperial_Invasion_War,0
Northern America,1994,Foreign_Invasion_War,0
Northern America,1994,Civil_War,4
Northern America,1994,Inter_country_War,0
Northern America,1994,Imperial_Invasion_War,0
Northern America,1995,Foreign_Invasion_War,0
Northern America,1995,Civil_War,3
Northern America,1995,Inter_country_War,1
Northern America,1995,Imperial_Invasion_War,0
Northern America,1996,Foreign_Invasion_War,0
Northern America,1996,Civil_War,3
Northern America,1996,Inter_country_War,0
Northern America,1996,Imperial_Invasion_War,0
Northern America,1997,Foreign_Invasion_War,0
Northern America,1997,Civil_War,2
Northern America,1997,Inter_country_War,0
Northern America,1997,Imperial_Invasion_War,0
Northern America,1998,Foreign_Invasion_War,0
Northern America,1998,Civil_War,2
Northern America,1998,Inter_country_War,0
Northern America,1998,Imperial_Invasion_War,0
Northern America,1999,Foreign_Invasion_War,0
Northern America,1999,Civil_War,2
Northern America,1999,Inter_country_War,0
Northern America,1999,Imperial_Invasion_War,0
Northern America,2000,Foreign_Invasion_War,0
Northern America,2000,Civil_War,1
Northern America,2000,Inter_country_War,0
Northern America,2000,Imperial_Invasion_War,0
Northern America,2001,Foreign_Invasion_War,1
Northern America,2001,Civil_War,1
Northern America,2001,Inter_country_War,1
Northern America,2001,Imperial_Invasion_War,0
Northern America,2002,Foreign_Invasion_War,1
Northern America,2002,Civil_War,1
Northern America,2002,Inter_country_War,0
Northern America,2002,Imperial_Invasion_War,0
Northern America,2003,Foreign_Invasion_War,1
Northern America,2003,Civil_War,1
Northern America,2003,Inter_country_War,1
Northern America,2003,Imperial_Invasion_War,0
Northern America,2004,Foreign_Invasion_War,1
Northern America,2004,Civil_War,2
Northern America,2004,Inter_country_War,0
Northern America,2004,Imperial_Invasion_War,0
Northern America,2005,Foreign_Invasion_War,1
Northern America,2005,Civil_War,1
Northern America,2005,Inter_country_War,0
Northern America,2005,Imperial_Invasion_War,0
Northern America,2006,Foreign_Invasion_War,1
Northern America,2006,Civil_War,1
Northern America,2006,Inter_country_War,0
