year,gender,age,migrant_count
1990,female,0-4,2458177
1990,female,05-09,3213316
1990,female,10-14,3857316
1990,female,15-19,4695164
1990,female,20-24,6003365
1990,female,25-29,7040668
1990,female,30-34,7228897
1990,female,35-39,6853011
1990,female,40-44,6206500
1990,female,45-49,5205812
1990,female,50-54,4422742
1990,female,55-59,3975033
1990,female,60-64,3688891
1990,female,65-69,2971373
1990,female,70-74,2547607
1990,female,75,4926781
1990,male,0-4,2470212
1990,male,05-09,3273706
1990,male,10-14,3985579
1990,male,15-19,4910906
1990,male,20-24,6422776
1990,male,25-29,7929009
1990,male,30-34,8279141
1990,male,35-39,7774627
1990,male,40-44,6910866
1990,male,45-49,5669320
1990,male,50-54,4624681
1990,male,55-59,3853028
1990,male,60-64,3290222
1990,male,65-69,2538804
1990,male,70-74,1980585
1990,male,75,3509357
1995,female,0-4,2323261
1995,female,05-09,3091970
1995,female,10-14,3787655
1995,female,15-19,4636036
1995,female,20-24,6158903
1995,female,25-29,7369093
1995,female,30-34,7800107
1995,female,35-39,7531036
1995,female,40-44,6803025
1995,female,45-49,5901274
1995,female,50-54,4987091
1995,female,55-59,4282445
1995,female,60-64,3819642
1995,female,65-69,3116685
1995,female,70-74,2863102
1995,female,75,5077911
1995,male,0-4,2347715
1995,male,05-09,3142057
1995,male,10-14,3872281
1995,male,15-19,4785675
1995,male,20-24,6461138
1995,male,25-29,8137582
1995,male,30-34,8793829
1995,male,35-39,8461660
1995,male,40-44,7505050
1995,male,45-49,6381595
1995,male,50-54,5213606
1995,male,55-59,4270379
1995,male,60-64,3509294
1995,male,65-69,2693260
1995,male,70-74,2211570
1995,male,75,3627800
2000,female,0-4,2326508
2000,female,05-09,3022499
2000,female,10-14,3708390
2000,female,15-19,4648043
2000,female,20-24,6430927
2000,female,25-29,7847809
2000,female,30-34,8300843
2000,female,35-39,8234913
2000,female,40-44,7523553
2000,female,45-49,6546083
2000,female,50-54,5748550
2000,female,55-59,4679590
2000,female,60-64,4167656
2000,female,65-69,3323107
2000,female,70-74,3117945
2000,female,75,5688096
2000,male,0-4,2385138
2000,male,05-09,3101986
2000,male,10-14,3860550
2000,male,15-19,4892269
2000,male,20-24,6800938
2000,male,25-29,8540622
2000,male,30-34,9241241
2000,male,35-39,9297385
2000,male,40-44,8365324
2000,male,45-49,7098174
2000,male,50-54,5988412
2000,male,55-59,4663429
2000,male,60-64,3854436
2000,male,65-69,2903545
2000,male,70-74,2462302
2000,male,75,4067458
2005,female,0-4,2383989
2005,female,05-09,3184744
